,date,market_code,market_name,mean_price,quantity
0,101.01.03,104,台北二,30.3645751883284,62922.0
1,101.01.03,109,台北一,29.0892853150341,232578.0
2,101.01.03,241,三重區,29.825103886580298,8182.0
3,101.01.03,338,桃農,23.798076923076923,52.0
4,101.01.03,400,台中市,25.22227378190255,15085.0
5,101.01.03,512,永靖鄉,28.8098756660746,25335.0
6,101.01.03,514,溪湖鎮,28.14664676549408,29479.0
7,101.01.03,540,南投市,32.43,2986.0
8,101.01.03,648,西螺鎮,25.928314838596375,455535.0
9,101.01.03,800,高雄市,37.229502956688506,18771.0
10,101.01.03,830,鳳山區,27.39586102719033,13240.0
11,101.01.03,900,屏東市,28.885482480206942,12757.0
12,101.01.03,950,花蓮市,31.72362095040993,25126.0
13,101.01.04,104,台北二,29.101061571125268,126699.0
14,101.01.04,109,台北一,29.0179201447228,411269.0
15,101.01.04,241,三重區,29.748889276575948,17196.0
16,101.01.04,338,桃農,25.35625,160.0
17,101.01.04,400,台中市,24.9560965433129,31157.0
18,101.01.04,512,永靖鄉,29.227658435899396,26162.0
19,101.01.04,514,溪湖鎮,28.10136032611185,43666.0
20,101.01.04,540,南投市,31.10600858369099,5359.0
21,101.01.04,648,西螺鎮,25.579179252572793,455536.0
22,101.01.04,800,高雄市,36.01197475107625,37863.0
23,101.01.04,830,鳳山區,27.918655784356346,25301.0
24,101.01.04,900,屏東市,26.27613476123328,26239.0
25,101.01.04,950,花蓮市,31.15308910772427,25031.5
26,101.01.05,104,台北二,27.087183540551862,126517.0
27,101.01.05,109,台北一,28.157789208453206,363933.0
28,101.01.05,241,三重區,27.294024993491277,23046.0
29,101.01.05,338,桃農,26.46987951807229,747.0
30,101.01.05,400,台中市,24.080501435761263,32387.0
31,101.01.05,512,永靖鄉,29.342613835206283,25717.0
32,101.01.05,514,溪湖鎮,27.71682156133829,43040.0
33,101.01.05,540,南投市,28.980492348636062,4509.0
34,101.01.05,648,西螺鎮,24.87985906708538,456955.0
35,101.01.05,800,高雄市,34.619318516929845,37301.0
36,101.01.05,830,鳳山區,26.749895543440967,26231.0
37,101.01.05,900,屏東市,23.74624800655144,23201.0
38,101.01.05,950,花蓮市,30.047546201565495,30789.0
39,101.01.06,104,台北二,25.341340295909486,135582.0
40,101.01.06,109,台北一,24.872923845891155,386532.0
41,101.01.06,241,三重區,24.218707482993192,25872.0
42,101.01.06,338,桃農,25.248703956343792,5864.0
43,101.01.06,400,台中市,23.15437037526427,30272.0
44,101.01.06,512,永靖鄉,29.38126544505059,21447.0
45,101.01.06,514,溪湖鎮,27.085348061692372,38384.0
46,101.01.06,540,南投市,31.20698301698302,3003.0
47,101.01.06,648,西螺鎮,24.09807807807808,457875.0
48,101.01.06,800,高雄市,33.97939819408612,40312.0
49,101.01.06,830,鳳山區,24.12741637464161,31390.0
50,101.01.06,900,屏東市,23.857687341837522,19363.0
51,101.01.06,950,花蓮市,25.010842089234046,32835.0
52,101.01.07,104,台北二,23.079275868504542,150028.0
53,101.01.07,109,台北一,21.211836891155777,409567.0
54,101.01.07,241,三重區,20.452392138438658,25542.0
55,101.01.07,338,桃農,22.396259440248784,11255.0
56,101.01.07,400,台中市,22.6773495171126,34273.0
57,101.01.07,512,永靖鄉,28.991905813097866,13590.0
58,101.01.07,514,溪湖鎮,26.593624134572355,37987.0
59,101.01.07,540,南投市,36.56192044748291,1609.0
60,101.01.07,648,西螺鎮,23.526609820328762,470860.0
61,101.01.07,800,高雄市,31.658248156569414,47059.0
62,101.01.07,830,鳳山區,22.000878661087867,33460.0
63,101.01.07,900,屏東市,23.574240837696337,20055.0
64,101.01.07,950,花蓮市,21.172145878173964,33219.5
65,101.01.08,104,台北二,22.62277158348016,146999.0
66,101.01.08,109,台北一,22.50193025343847,377567.0
67,101.01.08,241,三重區,18.234140743617804,28321.0
68,101.01.08,338,桃農,19.377381434941228,12335.0
69,101.01.08,400,台中市,20.7724103842517,46532.0
70,101.01.08,514,溪湖鎮,25.72871276707715,38004.0
71,101.01.08,540,南投市,30.439205043859644,3648.0
72,101.01.08,648,西螺鎮,22.93295902883156,263600.0
73,101.01.08,800,高雄市,30.555522755227553,52845.0
74,101.01.08,830,鳳山區,18.82167373354162,35848.0
75,101.01.08,900,屏東市,21.58841721091049,20824.0
76,101.01.07,512,永靖鄉,27.424812030075188,5320.0
77,101.01.07,950,花蓮市,20.580929137976117,17209.5
78,101.01.09,512,永靖鄉,25.9987525987526,24050.0
79,101.01.09,514,溪湖鎮,24.800240155874757,44138.0
80,101.01.09,950,花蓮市,22.630127572716447,14697.5
81,101.01.08,104,台北二,23.61026169911048,69813.0
82,101.01.08,109,台北一,25.65770807490106,169290.0
83,101.01.08,241,三重區,17.72455708324783,14619.0
84,101.01.08,338,桃農,18.724028548770814,6305.0
85,101.01.08,400,台中市,19.357415318889228,26216.0
86,101.01.08,540,南投市,29.29,2906.0
87,101.01.08,648,西螺鎮,21.645882352941175,24650.0
88,101.01.08,800,高雄市,31.12445050019721,27889.0
89,101.01.08,830,鳳山區,17.232851897184823,19608.0
90,101.01.08,900,屏東市,20.04829539998079,10413.0
91,101.01.10,104,台北二,28.31680307885205,57424.0
92,101.01.10,109,台北一,26.757219391015845,179939.0
93,101.01.10,241,三重區,21.166155426726352,13627.0
94,101.01.10,338,桃農,20.676084099868593,3044.0
95,101.01.10,400,台中市,20.668934225769085,15538.0
96,101.01.10,512,永靖鄉,25.282721814543027,37475.0
97,101.01.10,514,溪湖鎮,24.58403138585516,47155.0
98,101.01.10,540,南投市,28.32,1670.0
