,P,Q,t
3369,13.527161862527716,9020.0,101.10.05
3382,12.466666666666669,10290.0,101.10.06
3401,12.051730103806229,5780.0,101.10.06
3468,21.0,1150.0,101.10.13
3486,21.0,1150.0,101.10.13
3506,12.017259978425027,927.0,101.10.16
3519,15.882025598219254,1797.0,101.10.17
3532,19.83686440677966,4720.0,101.10.18
3545,19.74037460978148,4805.0,101.10.19
3565,19.5,955.0,101.10.19
3595,15.63969795037756,9270.0,101.10.23
3608,15.66261107313739,14630.0,101.10.24
3621,15.910750695088044,10790.0,101.10.25
3634,14.428882220555138,13330.0,101.10.26
3647,11.981893004115229,14580.0,101.10.27
3665,10.459880239520958,6680.0,101.10.27
3668,12.534564643799472,3790.0,101.10.29
3686,11.26969476744186,13760.0,101.10.30
3699,10.489178976296806,20377.0,101.10.31
3712,9.213425983372623,24177.0,101.11.01
3725,8.661016949152545,31270.0,101.11.02
3738,8.628826530612244,39200.0,101.11.03
3757,8.47926267281106,21700.0,101.11.03
3759,8.487804878048781,20500.0,101.11.05
3777,8.43153006733225,43070.0,101.11.06
3790,8.262928114414754,26570.0,101.11.07
3803,8.07233502538071,19700.0,101.11.08
3816,7.592616580310881,38600.0,101.11.09
3829,6.993278025951925,47010.0,101.11.10
3847,6.814765657403567,24110.0,101.11.10
3850,6.651026392961877,17050.0,101.11.12
3868,6.5172075670246095,41813.0,101.11.13
3881,6.2842308307347885,50028.0,101.11.14
3901,6.146190381951316,25265.0,101.11.14
3907,6.1,11500.0,101.11.16
3927,6.1,11500.0,101.11.16
3940,5.521590909090909,26400.0,101.11.19
3958,5.657391304347826,57500.0,101.11.20
3971,5.75796178343949,78500.0,101.11.21
3984,5.599386496555677,94213.0,101.11.22
3997,5.464520807133227,88263.0,101.11.23
4010,5.363799241989204,87070.0,101.11.24
4028,5.25594037702762,45620.0,101.11.24
4031,5.383473861720067,59300.0,101.11.26
4049,5.579265658747301,92600.0,101.11.27
4062,5.738752028322762,67790.0,101.11.28
4075,5.763767930327869,78080.0,101.11.29
4088,5.87241684163996,90490.0,101.11.30
4101,5.811561382598331,83900.0,101.12.01
4120,5.8,37000.0,101.12.01
4122,6.200943396226415,53000.0,101.12.03
4140,6.1820980701359165,66585.0,101.12.04
4153,7.422235991856245,56485.0,101.12.05
4166,7.925997014288761,93780.0,101.12.06
4179,8.105811236411663,98430.0,101.12.07
4192,8.098115873763541,106150.0,101.12.08
4210,8.0,58600.0,101.12.08
4213,8.0,29700.0,101.12.10
4231,8.125636007827788,51100.0,101.12.11
4244,8.565437476088174,67958.0,101.12.12
4257,8.688249346937864,89578.0,101.12.13
4270,8.841396454820577,92520.0,101.12.14
4283,8.6918278346606,105480.0,101.12.15
4302,8.442550911039659,55980.0,101.12.15
4304,7.956744043358216,48895.0,101.12.17
4322,8.020572604148809,87495.0,101.12.18
4335,8.272737886748395,85650.0,101.12.19
4348,8.499667663675638,90270.0,101.12.20
4368,8.593706617306802,43220.0,101.12.20
4374,9.01756871635024,49406.0,101.12.22
4392,9.01756871635024,49406.0,101.12.22
4394,9.275629809410924,53151.0,101.12.24
4412,9.35958923070054,111985.0,101.12.25
4425,9.453455393672364,108034.0,101.12.26
4438,9.951376290416157,108589.0,101.12.27
4451,11.773168764295738,90499.0,101.12.28
4464,14.36850749332786,58452.0,101.12.29
4483,14.22163704191354,27342.0,101.12.29
4485,14.27609483042476,30370.0,101.12.31
4503,14.08984829150716,35265.0,102.01.01
4517,14.177679117086674,27817.0,102.01.02
4531,15.274652454099623,49346.0,102.01.03
4545,16.18998329902513,51494.0,102.01.04
4559,16.45969505717678,48009.0,102.01.05
4580,16.530908060508306,22939.0,102.01.05
4582,14.634921216562844,27290.0,102.01.07
4601,14.761377459749554,55900.0,102.01.08
4615,15.220365921271483,54110.0,102.01.09
4629,14.946788990825688,54500.0,102.01.10
4643,14.631205673758863,49350.0,102.01.11
4657,14.867483052700637,45730.0,102.01.12
4677,14.761229314420804,25380.0,102.01.12
4680,14.487326943556976,28170.0,102.01.14
4699,14.830816913880897,45170.0,102.01.15
4713,15.554022988505746,43500.0,102.01.16
4727,15.443227091633466,50200.0,102.01.17
4741,15.127745664739884,51900.0,102.01.18
4755,15.376590330788805,51090.0,102.01.19
4776,15.76714722586282,22890.0,102.01.19
4778,16.027510156703425,17230.0,102.01.21
4797,15.256535211267606,35500.0,102.01.22
4811,14.789727081875435,35725.0,102.01.23
4825,14.984517576664173,40110.0,102.01.24
4839,15.28557047913017,35961.0,102.01.25
4853,14.64125229179399,35998.0,102.01.26
4873,13.903155297020978,22692.0,102.01.26
4876,11.881056051990251,30775.0,102.01.28
4895,11.969348066298345,67875.0,102.01.29
4909,12.062325161678448,66490.0,102.01.30
4923,12.082578456318917,58950.0,102.01.31
4937,11.875353730115972,70534.0,102.02.01
4951,10.96348716587594,90423.0,102.02.02
4972,10.329009686747964,49449.0,102.02.02
4974,10.654601087512551,52781.0,102.02.04
4992,10.580505772402418,90950.0,102.02.05
5006,10.166737519307343,70569.0,102.02.06
5020,10.218292364016737,76480.0,102.02.07
5034,10.435132178866544,92337.0,102.02.08
5054,10.3523592432186,48257.0,102.02.08
5072,9.065533980582524,41200.0,102.02.14
5081,9.24424373489378,78610.0,102.02.15
5094,9.683698042089834,95510.0,102.02.16
5115,9.839931153184166,58100.0,102.02.16
5117,9.164474807856532,58550.0,102.02.18
5136,8.996363636363636,117150.0,102.02.19
5150,8.561446646427695,106066.0,102.02.20
5164,7.520189313737701,112406.0,102.02.21
5178,6.661549665016021,137320.0,102.02.22
5192,6.305541460809187,149780.0,102.02.23
5212,6.256589147286822,77400.0,102.02.23
5227,6.414754098360656,76250.0,102.02.26
5236,6.218894720592776,161950.0,102.02.27
5250,5.928937432578209,185400.0,102.02.28
5264,5.668314998366191,183620.0,102.03.01
5278,5.271668973753495,184215.0,102.03.02
5299,5.1,100295.0,102.03.02
5301,4.312442396313364,108500.0,102.03.04
5320,4.3573866406630914,205100.0,102.03.05
5334,4.359936068193927,187700.0,102.03.06
5348,4.304231455518735,196150.0,102.03.07
5362,4.309004590984975,191680.0,102.03.08
5376,4.365696030758793,176860.0,102.03.09
5397,4.409642025933725,90230.0,102.03.09
5399,4.1,84840.0,102.03.11
5418,4.086149150950778,127790.0,102.03.12
5432,4.073196530569071,94540.0,102.03.13
5446,3.965744251714401,123950.0,102.03.14
5460,3.918065136265973,176860.0,102.03.15
5474,3.8998705920414105,185460.0,102.03.16
5495,3.8428853754940713,80960.0,102.03.16
5497,3.4729036982790187,81930.0,102.03.18
5516,3.486966476839077,170330.0,102.03.19
5530,3.863920099875156,160200.0,102.03.20
5544,4.165059788392913,159730.0,102.03.21
5558,4.024389493756535,162570.0,102.03.22
5572,3.773078106727396,162470.0,102.03.23
5592,3.580234544005465,87830.0,102.03.23
5595,3.540675152185944,90350.0,102.03.25
5614,3.543152130225081,199040.0,102.03.26
5628,3.5516623592798635,228290.0,102.03.27
5642,3.567254509018036,249500.0,102.03.28
5656,3.4891329479768785,259500.0,102.03.29
5670,3.430184331797235,260400.0,102.03.30
5692,3.458256880733945,130800.0,102.03.30
5693,3.156296296296296,20250.0,102.04.01
5712,3.274967741935484,116250.0,102.04.02
5726,3.7375888244852415,206165.0,102.04.03
5743,4.118912540280489,110165.0,102.04.03
5749,4.107991360691145,92600.0,102.04.05
5759,4.968745680407228,166393.0,102.04.06
5779,6.0488731993549525,73793.0,102.04.06
5780,5.915942028985508,69000.0,102.04.08
5798,5.52216,125000.0,102.04.09
5812,5.114928732183046,133300.0,102.04.10
5826,5.124862721569343,153338.0,102.04.11
5840,5.024937595207312,156238.0,102.04.12
5854,4.502381821822764,169786.0,102.04.13
5874,4.079224432388989,89586.0,102.04.13
5877,3.851851851851852,54675.0,102.04.15
