,P,Q,t
8037,29.874022698612865,31720.0,102.09.14
8051,29.94993773349938,32120.0,102.09.15
8064,29.811240875912407,20550.0,102.09.16
8079,30.00452034153692,19910.0,102.09.17
8093,30.047100288369112,31210.0,102.09.18
8107,30.67312871907297,31930.0,102.09.19
8123,31.442183622828782,16120.0,102.09.19
8137,35.73816568047337,3380.0,102.09.22
8153,35.73816568047337,3380.0,102.09.22
8164,30.67956989247312,14880.0,102.09.24
8178,26.279869684499317,29160.0,102.09.25
8192,20.79665286404417,28980.0,102.09.26
8206,20.562637766348274,27220.0,102.09.27
8220,21.35938485804416,25360.0,102.09.28
8234,21.31964356435644,25250.0,102.09.29
8251,21.231587429492343,12410.0,102.09.29
8262,29.127848101265823,13430.0,102.10.01
8276,29.083917682926828,26240.0,102.10.02
8290,29.043176561295297,25940.0,102.10.03
8304,30.054607768469157,26260.0,102.10.04
8318,30.728966061562748,25340.0,102.10.05
8332,30.615986132511555,25960.0,102.10.06
8348,30.83258181818182,13750.0,102.10.06
8359,30.470179547228728,12810.0,102.10.08
8373,30.445802098950526,26680.0,102.10.09
8387,30.8946587537092,26960.0,102.10.10
8401,32.90041952707856,26220.0,102.10.11
8415,31.89252682204957,27030.0,102.10.12
8429,31.372039837698267,27110.0,102.10.13
8446,33.31877365632097,13210.0,102.10.13
8457,33.4201901975128,13670.0,102.10.15
8471,30.565252976190475,26880.0,102.10.16
8485,27.01772339636633,26970.0,102.10.17
8499,26.456350364963505,27400.0,102.10.18
8513,26.469632925472748,26970.0,102.10.19
8527,27.043275287143388,26990.0,102.10.20
8544,27.597950219619328,13660.0,102.10.20
8555,27.65997045790251,13540.0,102.10.22
8570,27.63932871214885,27410.0,102.10.23
8585,27.61917808219178,27740.0,102.10.24
8600,27.009343434343435,27720.0,102.10.25
8615,25.431948998178505,27450.0,102.10.26
8630,23.210718191760847,27430.0,102.10.27
8649,21.99450469992769,13830.0,102.10.27
8660,23.3,13740.0,102.10.29
8675,23.3,27610.0,102.10.30
8690,23.3,27100.0,102.10.31
8705,23.3,26990.0,102.11.01
8720,24.01988888888889,27000.0,102.11.02
8735,23.24161098737936,26940.0,102.11.03
8754,21.766423357664237,13700.0,102.11.03
8765,16.448101265822785,14220.0,102.11.05
8780,14.50197461212976,28360.0,102.11.06
8795,12.547312961011592,28470.0,102.11.07
8810,12.586947368421052,28500.0,102.11.08
8825,12.813515406162464,28560.0,102.11.09
8840,12.81641689373297,29360.0,102.11.10
8859,12.640347361389445,14970.0,102.11.10
8870,11.827322033898303,14750.0,102.11.12
8885,11.817220130092434,29210.0,102.11.13
8900,11.720637273064098,26990.0,102.11.14
8915,11.230427493713329,23860.0,102.11.15
8930,10.523096446700508,23640.0,102.11.16
8945,10.307821698906643,23780.0,102.11.17
8964,10.3487358326068,11470.0,102.11.17
8975,10.21882951653944,11790.0,102.11.19
8989,10.175916666666666,24000.0,102.11.20
9003,10.140456769983686,24520.0,102.11.21
9018,10.13670169765562,24740.0,102.11.22
9033,10.16096256684492,26180.0,102.11.23
9048,9.968237082066867,26320.0,102.11.24
9067,9.723945902943516,12570.0,102.11.24
9078,9.700617283950615,12960.0,102.11.26
9093,9.633120540743525,26630.0,102.11.27
9108,9.04835007173601,27880.0,102.11.28
9123,8.542923516797712,27980.0,102.11.29
9138,8.888653500897666,27850.0,102.11.30
9153,9.12928306967351,29710.0,102.12.01
9172,9.03742802303263,15630.0,102.12.01
9183,9.166173503698722,14870.0,102.12.03
9198,9.243777853959548,29170.0,102.12.04
9213,10.748531893351332,29630.0,102.12.05
9228,12.084313725490196,30600.0,102.12.06
9243,11.32815631262525,29940.0,102.12.07
9258,10.577548918640575,29130.0,102.12.08
9277,10.622406639004147,14460.0,102.12.08
9288,10.70995532865348,15670.0,102.12.10
9303,10.725944170771758,30450.0,102.12.11
9318,10.76721044045677,30650.0,102.12.12
9333,10.474030514939606,31460.0,102.12.13
9348,9.804417797412434,31690.0,102.12.14
9363,9.442144177449167,32460.0,102.12.15
9382,9.417359413202934,16360.0,102.12.15
9393,9.46439628482972,16150.0,102.12.17
9408,8.5989608801956,32720.0,102.12.18
9423,7.744834834834835,33300.0,102.12.19
9438,7.738420427553444,33680.0,102.12.20
9453,7.750638051044083,34480.0,102.12.21
9468,7.759521126760563,35500.0,102.12.22
9487,7.760489705063995,17970.0,102.12.22
9498,8.741523922031895,16930.0,102.12.24
9513,8.787723214285714,35840.0,102.12.25
9528,8.70908122503329,37550.0,102.12.26
9543,8.59266471058949,37490.0,102.12.27
9558,8.5945931619401,37730.0,102.12.28
9573,8.597423217074441,38420.0,102.12.29
9592,8.603377686796316,19540.0,102.12.29
9603,8.583174762143214,19970.0,102.12.31
9618,8.577099038211593,38470.0,103.01.01
9633,8.559929078014184,36660.0,103.01.02
9648,8.55795608566007,36890.0,103.01.03
9663,8.541473178542834,37470.0,103.01.04
9678,8.519031141868512,37570.0,103.01.05
9697,8.521614445034519,18830.0,103.01.05
9708,8.506517311608961,19640.0,103.01.07
9723,8.508963941086845,39380.0,103.01.08
9738,7.939364748763343,38410.0,103.01.09
9753,7.330694668820678,37140.0,103.01.10
9768,6.727286546744363,39470.0,103.01.11
9783,6.206442166910688,40980.0,103.01.12
9802,6.213213213213213,19980.0,103.01.12
9813,6.235859124866596,18740.0,103.01.14
9828,6.235106382978723,37600.0,103.01.15
9843,6.218491606113756,39910.0,103.01.16
9858,6.208064900978287,41910.0,103.01.17
9873,6.20824295010846,41490.0,103.01.18
9888,6.606096975516083,41660.0,103.01.19
9907,7.0,21030.0,103.01.19
9918,6.0,19850.0,103.01.21
9933,6.0,39700.0,103.01.22
9948,5.3,39700.0,103.01.23
9963,4.6,39700.0,103.01.24
9978,4.6,39720.0,103.01.25
9993,4.6,41410.0,103.01.26
10008,4.8,43080.0,103.01.27
10023,5.0,44120.0,103.01.28
10038,5.0,46120.0,103.01.29
10053,5.0,43690.0,103.01.30
