,P,Q,t
1926,19.305585605732364,214641.0,101.06.05
1938,17.32297340394689,413896.0,101.06.06
1950,13.739438344271427,378951.0,101.06.07
1962,12.750941265295172,320526.0,101.06.08
1974,13.368050357689546,320110.0,101.06.09
1987,14.156860033655995,333373.0,101.06.10
2003,15.230035108668144,154093.0,101.06.10
2012,21.468500802614432,138921.0,101.06.12
2024,21.713515376765734,293007.0,101.06.13
2036,18.753028535883672,372969.0,101.06.14
2048,15.885692311395696,415420.0,101.06.15
2060,15.43420683903253,359700.0,101.06.16
2072,15.581223305829363,343708.0,101.06.17
2087,15.44451134066299,180545.0,101.06.17
2096,22.611399004544047,203123.0,101.06.19
2108,21.71732497809244,461028.0,101.06.20
2120,17.60451842079339,517703.0,101.06.21
2132,15.29673404779586,440331.0,101.06.22
2144,16.322855263621523,425705.0,101.06.23
2159,15.938227856362069,245172.0,101.06.23
2171,12.57569446746445,241336.0,101.06.26
2182,12.856543245615246,435258.0,101.06.27
2194,14.685403656609736,358857.0,101.06.28
2206,17.245438426453823,350800.0,101.06.29
2218,18.75457433455068,387182.0,101.06.30
2230,19.924811178421976,433478.0,101.07.01
2245,20.31443308738333,232161.0,101.07.01
2254,19.624818909811008,230272.0,101.07.03
2266,19.61176894527228,398226.0,101.07.04
2278,19.495520994599197,338468.0,101.07.05
2290,19.276921371679062,320279.0,101.07.06
2302,19.358194266274094,353906.0,101.07.07
2314,20.91225055836237,398039.0,101.07.08
2329,22.37858719532951,193898.0,101.07.08
2338,22.865212307931,180469.0,101.07.10
2350,21.99278016877767,325991.0,101.07.11
2362,22.263099760714898,250329.0,101.07.12
2374,25.29604582286088,209677.0,101.07.13
2386,26.030905691749638,241771.0,101.07.14
2398,27.34675108690442,271183.0,101.07.15
2413,29.01611384995756,134282.0,101.07.15
2421,30.89396040066673,128386.0,101.07.17
2433,30.53292681909559,239762.0,101.07.18
2445,28.924261407338577,224921.0,101.07.19
2457,27.10611196354676,258084.0,101.07.20
2469,25.77156666905585,320891.0,101.07.21
2481,25.41047300312361,313740.0,101.07.22
2496,25.815075552449997,137388.0,101.07.22
2504,28.966650834174438,117901.0,101.07.24
2516,26.319941348973607,243474.0,101.07.25
2528,24.397399410313284,224526.0,101.07.26
2540,25.07706284236021,230386.0,101.07.27
2552,22.699003614735187,321462.0,101.07.28
2564,21.110073153291903,363620.0,101.07.29
2579,21.15176305223197,173591.0,101.07.29
2588,26.559893601235935,229138.0,101.07.31
2600,25.434594804794173,460309.0,101.08.01
2612,25.211268771300148,358859.0,101.08.02
2624,24.53454634737546,287136.0,101.08.03
2636,23.45324476650564,372600.0,101.08.04
2648,22.826081596126176,470439.0,101.08.05
2663,21.83924100323763,257287.0,101.08.05
2672,23.171792292104648,210719.0,101.08.07
2684,20.67670042604081,428128.0,101.08.08
2696,19.043258999870503,370672.0,101.08.09
2708,21.05060929288401,321192.0,101.08.10
2720,21.22589821622722,402854.0,101.08.11
2732,21.25681782736353,442421.0,101.08.12
2747,21.810283089794503,207496.0,101.08.12
2756,22.41170837402088,238607.0,101.08.14
2768,22.56757687850593,476336.0,101.08.15
2780,20.59644626314844,495591.0,101.08.16
2792,19.66102772286548,424920.0,101.08.17
2804,20.882358421855457,363845.0,101.08.18
2816,20.157162009861477,425900.0,101.08.19
2831,19.798540021736,229113.0,101.08.19
2840,26.570069059725284,197655.0,101.08.21
2852,26.278332119446468,497026.0,101.08.22
2864,25.19024999597329,558769.0,101.08.23
2876,24.20518054082297,444027.0,101.08.24
2888,22.57797690237704,321072.0,101.08.25
2900,21.67774761723217,327875.0,101.08.26
2915,22.671055518408625,191432.0,101.08.26
2924,24.68799040694694,224329.0,101.08.28
2936,23.86663331898008,387833.0,101.08.29
2948,22.8582193569352,344662.0,101.08.30
2960,22.5848098771246,390721.0,101.08.31
2972,21.712529117050543,398392.0,101.09.01
2983,23.488866450607738,368418.0,101.09.02
2997,25.990784513528112,179589.0,101.09.02
3008,23.41727483027171,212251.0,101.09.05
3020,22.16895029930745,402429.0,101.09.06
3032,22.40703794966881,327908.0,101.09.07
3044,21.649099890844976,357290.0,101.09.08
3056,21.773655199594614,355220.0,101.09.09
3071,25.031618752764263,135660.0,101.09.09
3080,19.90283183691997,189453.0,101.09.11
3092,20.185923039162866,334092.0,101.09.12
3104,21.838418079096044,255411.0,101.09.13
3116,21.35515660260196,264108.0,101.09.14
3128,20.10971897588541,314457.0,101.09.15
3140,19.89708844831457,338548.0,101.09.16
3155,19.433780089839765,177427.0,101.09.16
3164,19.718928757435386,182405.0,101.09.18
3176,19.75730137231672,318221.0,101.09.19
3188,20.86227398740442,253581.0,101.09.20
3200,18.62054438849961,304268.0,101.09.21
3212,16.650921904627562,368639.0,101.09.22
3224,17.870762458481597,337802.0,101.09.23
3239,19.04280061156579,155666.0,101.09.23
3248,15.47249437739925,213869.0,101.09.25
3260,15.280911413183365,411822.0,101.09.26
3273,14.666384662336492,411223.0,101.09.27
3286,13.733508495314643,402104.0,101.09.28
3299,13.718684491339944,385159.0,101.09.29
3312,14.072628560306232,385325.0,101.09.30
3326,13.82927724867725,189000.0,101.09.30
3339,15.19015229872926,189496.0,101.10.03
3352,14.481474259270174,390257.0,101.10.04
3365,14.630358188946218,355064.0,101.10.05
3378,14.801637322254148,354298.0,101.10.06
3391,14.694635089415176,399317.0,101.10.07
3407,15.278378703805902,199322.0,101.10.07
3416,14.34454428690908,200872.0,101.10.09
3428,14.298158743310122,357256.0,101.10.10
3440,14.577815835210613,314729.0,101.10.11
3452,13.632927612391564,373738.0,101.10.12
3464,12.25061509783577,450091.0,101.10.13
3477,12.40538531444462,403839.0,101.10.14
3493,13.18222193318001,169141.0,101.10.14
3502,13.001569706997792,204879.0,101.10.16
3515,14.210758055431468,360409.0,101.10.17
3528,16.00107315340424,292782.0,101.10.18
3541,14.335777804700752,330160.0,101.10.19
3554,11.981825693019742,428451.0,101.10.20
3567,11.21413911522018,444653.0,101.10.21
3582,11.28107742336569,209110.0,101.10.21
3591,10.632441594382671,223309.0,101.10.23
3604,10.205768234853316,419019.0,101.10.24
3617,9.615641451474596,368508.0,101.10.25
3630,8.409067468184436,390925.0,101.10.26
3643,7.796520751550458,414716.0,101.10.27
3656,7.017516000234228,461087.0,101.10.28
3673,6.231836535625978,264498.0,101.10.28
3682,8.165230039340488,204878.0,101.10.30
3695,7.055073023195602,424865.0,101.10.31
3708,6.890052438914535,366331.0,101.11.01
3721,8.137724039269587,355797.0,101.11.02
3734,7.522713263941385,481516.0,101.11.03
3747,6.987147082291203,521368.0,101.11.04
3764,6.885075309360021,249305.0,101.11.04
3773,7.402529034792644,244362.0,101.11.06
3786,7.17815511336177,475910.0,101.11.07
3799,6.363947493762996,476591.0,101.11.08
3812,5.436152676327132,507636.0,101.11.09
3825,5.259207059726308,508235.0,101.11.10
3838,5.65460416553325,441144.0,101.11.11
3855,5.910053605589714,195502.0,101.11.11
3864,7.028541402021253,196017.0,101.11.13
3877,6.444350690841199,441346.0,101.11.14
3890,5.489119036778469,494175.0,101.11.15
3903,4.852762037694252,504374.0,101.11.16
3916,4.708435876975627,500031.0,101.11.17
3929,6.291951662835397,411526.0,101.11.18
3945,8.600217934056985,167023.0,101.11.18
3954,5.860124198310088,265221.0,101.11.20
3967,5.128583317502962,552735.0,101.11.21
3980,4.789284570375876,477685.0,101.11.22
3993,4.941467395988057,394522.0,101.11.23
4006,5.34978792847702,383597.0,101.11.24
4019,8.126842756649749,345013.0,101.11.25
4036,10.218991114033557,165767.0,101.11.25
4045,7.863652076273737,249365.0,101.11.27
4058,7.7750906992084445,448736.0,101.11.28
4071,7.267462076262099,419658.0,101.11.29
4084,6.72290367259405,447640.0,101.11.30
4097,6.4854111400188215,469694.0,101.12.01
4110,6.845517986457583,501683.0,101.12.02
4127,7.232753661188701,259342.0,101.12.02
4136,9.019615001218352,225715.0,101.12.04
4149,9.022588843043044,456845.0,101.12.05
4162,10.316997043327904,418714.0,101.12.06
4175,11.324069866234613,455499.0,101.12.07
4188,10.076967891177848,585322.0,101.12.08
4201,9.041799551023452,603595.0,101.12.09
4218,8.678238081261268,286188.0,101.12.09
4227,8.662336803496071,293358.0,101.12.11
4240,9.177191774828644,514275.0,101.12.12
4253,10.60830408864183,427428.0,101.12.13
4266,11.09663290491209,425827.0,101.12.14
4279,10.302196974171096,491039.0,101.12.15
4292,9.56996821360458,534820.0,101.12.16
4309,9.231667787926126,263097.0,101.12.16
4318,10.35615472043659,217321.0,101.12.18
4331,10.546374577200732,424847.0,101.12.19
4344,11.616084085833576,391362.0,101.12.20
4357,13.101857934875971,384190.0,101.12.21
4370,14.451004506073115,381929.0,101.12.22
4383,14.175421077296283,435312.0,101.12.23
4399,13.27740061559804,253737.0,101.12.23
4408,15.04272295844505,233474.0,101.12.25
4421,14.916905353890606,454081.0,101.12.26
4434,15.34524077407741,417736.0,101.12.27
4447,16.021355779849504,389370.0,101.12.28
4460,16.60937016976109,379769.0,101.12.29
4473,16.97953859366723,388898.0,101.12.30
4490,16.809649401599042,201370.0,101.12.30
4499,24.061190741152902,179720.0,102.01.01
4513,23.01442193716324,378791.0,102.01.02
4527,23.60798213017266,340686.0,102.01.03
4541,26.532979822420828,291363.0,102.01.04
4555,26.39877244802839,356156.0,102.01.05
4569,25.09001615017321,427240.0,102.01.06
4587,24.446527677148243,220832.0,102.01.06
4597,22.860926080753377,240411.0,102.01.08
4611,20.65346774424354,454229.0,102.01.09
4625,19.582201030130463,349082.0,102.01.10
4639,22.675356699544867,299692.0,102.01.11
4653,21.49762843951896,416519.0,102.01.12
4667,19.55407355528752,462618.0,102.01.13
4685,18.7012150460511,210527.0,102.01.13
4695,22.43138856346505,180107.0,102.01.15
4709,22.22300463532469,347117.0,102.01.16
4723,21.985902658472224,338766.0,102.01.17
4737,21.54599465178467,378444.0,102.01.18
4751,20.639496467888097,430479.0,102.01.19
4765,19.35097840014644,437040.0,102.01.20
4783,18.53275044666095,213249.0,102.01.20
4793,18.281525995822765,214496.0,102.01.22
4807,17.772988484485257,405453.0,102.01.23
4821,16.137682308555306,422498.0,102.01.24
4835,14.71762800495894,429124.0,102.01.25
4849,14.071864694775044,407257.0,102.01.26
4863,13.840124352867116,425724.0,102.01.27
4881,13.624410553112709,216050.0,102.01.27
4891,14.893171243972274,212352.0,102.01.29
4905,14.84613547113159,405651.0,102.01.30
4919,14.184179762832343,386309.0,102.01.31
4933,13.072960869844438,404854.0,102.02.01
4947,12.0610881284254,445021.0,102.02.02
4961,12.1062791865148,448195.0,102.02.03
4978,12.703380647201632,215018.0,102.02.03
4988,13.87601232677292,264465.0,102.02.05
5002,14.131651443336914,532516.0,102.02.06
5016,14.086286632274254,562721.0,102.02.07
5030,12.332809228124963,660936.0,102.02.08
5044,9.33177148490008,557950.0,102.02.09
5058,5.876873917489201,191684.0,102.02.09
5077,7.580250218413906,232357.0,102.02.15
5090,8.152942379033865,401104.0,102.02.16
5104,9.097501873328335,375001.0,102.02.17
5121,9.225123876385426,206254.0,102.02.17
5132,5.929033330739134,282682.0,102.02.19
5146,5.531961523727217,550781.0,102.02.20
5160,4.877245177992688,463137.0,102.02.21
5174,5.616661164943604,342317.0,102.02.22
5188,7.698607381690732,331821.0,102.02.23
5202,8.537338108111932,423894.0,102.02.24
5218,8.769849426785655,239352.0,102.02.24
5232,5.102703197641791,338562.0,102.02.27
5246,4.671182864094267,628855.0,102.02.28
5260,4.515155772854265,492512.0,102.03.01
5274,4.832677089816604,427382.0,102.03.02
5288,4.140663845064705,524761.0,102.03.03
5306,3.742724584276264,299598.0,102.03.03
5316,4.195162725556346,258472.0,102.03.05
5330,4.714949546651069,437632.0,102.03.06
5344,4.959951880676455,387786.0,102.03.07
5358,4.512907638314948,417435.0,102.03.08
5372,4.522152472454227,412586.0,102.03.09
5386,4.800910743671355,405932.0,102.03.10
5403,5.058459597833346,202155.0,102.03.10
5414,4.603461209060573,237027.0,102.03.12
5428,4.903455901887712,417807.0,102.03.13
5442,4.948325237832229,387458.0,102.03.14
5456,4.605668357700353,417299.0,102.03.15
5470,4.726847721973355,413428.0,102.03.16
5484,4.882558044201217,390306.0,102.03.17
5502,4.87312839001808,187499.0,102.03.17
5512,4.698008940650549,204012.0,102.03.19
5526,4.466608324501537,414223.0,102.03.20
5540,4.227725278048111,393547.0,102.03.21
5554,3.923546780616117,384732.0,102.03.22
5568,3.64390751717685,398647.0,102.03.23
5582,3.7977002544570095,373737.0,102.03.24
5600,3.989752161644549,176486.0,102.03.24
5610,3.996176648638913,199877.0,102.03.26
5624,4.139138281899839,382306.0,102.03.27
5638,4.703015485428307,322303.0,102.03.28
5652,4.374692507783334,370985.0,102.03.29
5666,3.926864963051645,436014.0,102.03.30
5680,4.218677539742882,402462.0,102.03.31
5698,4.43671105846861,197559.0,102.03.31
5708,5.042105778386893,224734.0,102.04.02
5722,5.453886334599373,460228.0,102.04.03
5739,5.84685214909934,235494.0,102.04.03
5755,9.879267631217123,158554.0,102.04.06
5768,8.367201062104963,418791.0,102.04.07
5785,7.445947732259439,260237.0,102.04.07
5794,4.7845511910165,273212.0,102.04.09
5808,4.218704374904283,587670.0,102.04.10
5822,4.660890525183854,438932.0,102.04.11
5836,6.652093349514413,322187.0,102.04.12
5850,6.058906101214668,430570.0,102.04.13
5864,5.052623009872538,491363.0,102.04.14
5882,4.422729066249912,258506.0,102.04.14
5892,6.414879087286425,183190.0,102.04.16
5906,6.829894819792704,365468.0,102.04.17
5920,6.641379560771554,413088.0,102.04.18
5934,6.691105950148414,402595.0,102.04.19
5948,9.832041722217866,318775.0,102.04.20
5962,12.707706687179371,353602.0,102.04.21
5980,12.7318805296885,206612.0,102.04.21
5990,9.893725135910485,252372.0,102.04.23
6004,10.85262924387293,421490.0,102.04.24
6018,10.310281843385727,410831.0,102.04.25
6032,8.555992813338019,449722.0,102.04.26
6046,9.817714847590954,381375.0,102.04.27
6060,11.701146845631754,368489.0,102.04.28
6078,11.566669229152891,195123.0,102.04.28
6088,13.370199563882135,175182.0,102.04.30
6102,13.702518774447062,335163.0,102.05.01
6117,16.222655403941957,304722.0,102.05.02
6132,18.5455692721476,330905.0,102.05.03
6147,18.576103894742914,381694.0,102.05.04
6162,19.13065423460757,399612.0,102.05.05
6181,19.59130251565548,204082.0,102.05.05
6192,17.082240135038166,221567.0,102.05.07
6207,16.924678853627448,387518.0,102.05.08
6222,16.761438899686794,323108.0,102.05.09
6237,16.81706075038185,321463.0,102.05.10
6252,15.085095098020815,372931.0,102.05.11
6267,15.02994198578243,354913.0,102.05.12
6286,16.902869681723722,146288.0,102.05.12
6296,18.969818869069798,144978.0,102.05.14
6311,18.144894663080454,308961.0,102.05.15
6326,16.74445932855952,326224.0,102.05.16
6341,15.978668794532032,310170.0,102.05.17
6356,15.228718184472951,345861.0,102.05.18
6371,16.24785225022743,373740.0,102.05.19
6390,17.945544002548235,175808.0,102.05.19
6401,20.564295651262828,171797.0,102.05.21
6415,19.494050951420547,360461.0,102.05.22
6430,17.827718840688153,374222.0,102.05.23
6445,17.26108658196681,347659.0,102.05.24
6460,16.998439972026688,348904.0,102.05.25
