,P,Q,t
1925,18.648344538881137,94596.0,101.06.05
1937,16.287249404716185,182266.0,101.06.06
1949,13.790721808030494,149555.0,101.06.07
1961,13.360057749312691,130218.0,101.06.08
1973,12.870874361977473,138318.0,101.06.09
1986,13.30681043752177,132062.0,101.06.10
2002,13.835269101277444,62077.0,101.06.10
2011,17.575616057233706,60384.0,101.06.12
2023,18.690035514217996,121923.0,101.06.13
2035,17.94701782820097,141910.0,101.06.14
2047,15.269979573280851,160574.0,101.06.15
2059,14.730155073290922,143674.0,101.06.16
2071,15.674235067614733,130371.0,101.06.17
2086,15.69035874439462,66900.0,101.06.17
2095,23.883715992412878,70646.0,101.06.19
2107,22.23184106275877,167865.0,101.06.20
2119,18.752068959928256,185093.0,101.06.21
2131,16.999259161001486,150775.0,101.06.22
2143,16.928968963834922,159878.0,101.06.23
2158,16.186560730894957,96977.0,101.06.23
2170,15.052271583819683,79504.0,101.06.26
2181,15.189066505698966,140815.0,101.06.27
2193,17.198613503105832,103354.0,101.06.28
2205,20.18953489653956,90711.0,101.06.29
2217,20.45010389058705,108287.0,101.06.30
2229,21.4269703844177,112846.0,101.07.01
2244,22.534944670937683,53227.0,101.07.01
2253,21.705387989386477,55401.0,101.07.03
2265,21.69714058996669,108379.0,101.07.04
2277,21.983124184962698,93554.0,101.07.05
2289,22.845960175666235,80152.0,101.07.06
2301,22.79285603749392,90468.0,101.07.07
2313,22.548093964220037,107658.0,101.07.08
2328,22.70748335271113,56766.0,101.07.08
2337,22.50720471192832,59933.0,101.07.10
2349,22.640707451168183,108587.0,101.07.11
2361,22.800470012296167,87019.0,101.07.12
2373,24.723268948866085,69582.0,101.07.13
2385,26.058853265604103,81501.0,101.07.14
2397,27.208797018259844,90417.0,101.07.15
2412,29.4545087583784,40133.0,101.07.15
2420,28.24197748135112,50003.0,101.07.17
2432,28.40538724096755,94631.0,101.07.18
2444,28.393282288521807,87113.0,101.07.19
2456,25.95382942909244,99806.0,101.07.20
2468,24.56228580215471,104051.0,101.07.21
2480,25.380607985277287,89114.0,101.07.22
2495,25.925056625141565,42384.0,101.07.22
2503,26.402399422275025,42927.0,101.07.24
2515,24.99429737945725,90134.0,101.07.25
2527,23.155439277761324,91161.0,101.07.26
2539,23.719590545938747,84112.0,101.07.27
2551,22.470504165106227,98797.0,101.07.28
2563,20.2571468116835,111987.0,101.07.29
2578,19.7234779185724,53348.0,101.07.29
2587,24.67206932282712,87821.0,101.07.31
2599,25.748298788626688,158828.0,101.08.01
2611,26.131347377276157,114118.0,101.08.02
2623,26.419784307095444,56191.0,101.08.03
2635,31.75968145387718,58767.0,101.08.04
2647,29.7212899148283,99681.0,101.08.05
2662,28.179958884320477,53994.0,101.08.05
2671,27.213757634201222,52887.0,101.08.07
2683,24.37414438063987,121900.0,101.08.08
